valore,category_1,image_1,category_2,image_2
amphora,closed vessel,closed vessel.png,amphora,amphora.png
bottle,closed vessel,closed vessel.png,bottle,bottle.png
flask,closed vessel,closed vessel.png,bottle,bottle.png
jug,closed vessel,closed vessel.png,jug,jug.png
cauldron,closed vessel,closed vessel.png,other closed vessel,closed vessel.png
pot,closed vessel,closed vessel.png,other closed vessel,closed vessel.png
teapot,closed vessel,closed vessel.png,other closed vessel,closed vessel.png
stirrup jar,closed vessel,closed vessel.png,stirrup jar,stirrup jar.png
uknown vase,closed vessel,closed vessel.png,uknown vase,uknown vase.png
bead,jewelry-administrative,necklace.png,bead,bead.png
bracelet,jewelry-administrative,necklace.png,bracelet,bracelet.png
necklace,jewelry-administrative,necklace.png,necklace,necklace.png
ring,jewelry-administrative,necklace.png,ring,ring.png
seal,jewelry-administrative,necklace.png,seal or sealing,seal_sealing.png
sealing,jewelry-administrative,necklace.png,seal or sealing,seal_sealing.png
blossom bowl,open vessel,open vessel.png,blossom bowl,blossom bowl.png
bowl,open vessel,open vessel.png,bowl,bowl.png
kotyle,open vessel,open vessel.png,bowl,bowl.png
cup,open vessel,open vessel.png,cup,cup.png
dipper,open vessel,open vessel.png,dipper,dipper.png
kyathos,open vessel,open vessel.png,dipper,dipper.png
kylix,open vessel,open vessel.png,kylix,kylix.png
pedestalled cup,open vessel,open vessel.png,kylix,kylix.png
basin,open vessel,open vessel.png,other open vessels,open vessel.png
handled lamp,open vessel,open vessel.png,other open vessels,open vessel.png
pan,open vessel,open vessel.png,other open vessels,open vessel.png
spouted bowl,open vessel,open vessel.png,other open vessels,open vessel.png
uknown vase,open vessel,open vessel.png,uknown vase,uknown vase.png
adze,other,other.png,other,other.png
box,other,other.png,other,other.png
casket,other,other.png,other,other.png
chisel,other,other.png,other,other.png
handle,other,other.png,other,other.png
lid,other,other.png,other,other.png
ND,other,other.png,other,other.png
needle,other,other.png,other,other.png
possibile perished element,other,other.png,other,other.png
saw,other,other.png,other,other.png
shroud,other,other.png,other,other.png
stud,other,other.png,other,other.png
tweezer,other,other.png,other,other.png
whetstone,other,other.png,other,other.png
wire,other,other.png,other,other.png
charcoal holder,ritual paraphernalia,larnax.png,charcoal holder,charcoal holder.png
frying pan,ritual paraphernalia,larnax.png,frying pan,frying-pan.png
larnax,ritual paraphernalia,larnax.png,larnax,larnax.png
sarcophagus,ritual paraphernalia,larnax.png,larnax,larnax.png
tripod hearth,ritual paraphernalia,larnax.png,tripod hearth,tripod hearth.png
comb,tool,comb.png,comb,comb.png
knife,tool,comb.png,knife,knife.png
mirror,tool,mirror.png,mirror,mirror.png
mirror's handle,tool,comb.png,mirror,mirror.png
pin,tool,comb.png,pin,pin.png
razor,tool,comb.png,razor,razor.png
spindle-whorl,tool,comb.png,spindle-whorl,spindle-whorl.png
arrow-head,weapon,sword.png,arrow-head,arrow.png
dagger,weapon,sword.png,dagger,dagger.png
boar-tusk,weapon,sword.png,helmet,boar-tusk helmet.png
helmet,weapon,sword.png,helmet,boar-tusk helmet.png
spear,weapon,sword.png,spear,spear.png
sword,weapon,sword.png,sword,sword.png